URL,_id/$oid,address,address line 2,name,outcode,postcode,rating,type_of_food
http://www.just-eat.co.uk/restaurants-billinghambalti-ts23/menu,55f14313c7447c3da70524bd,117 Station Road,Billingham,Billingham Balti House,TS23,2RL,5.5,Curry
http://www.just-eat.co.uk/restaurants-bills-wok-inn/menu,55f14313c7447c3da70524be,Unit 2,Aberdeen,Bill's Wok Inn,AB15,8TG,5,Chinese
http://www.just-eat.co.uk/restaurants-billyburgers-ba1/menu,55f14313c7447c3da70524bf,Flat The Burger Factory,Avon,Billy Burger,BA1,6RT,5,American
http://www.just-eat.co.uk/restaurants-billysfishandchips-ne32/menu,55f14313c7447c3da70524c0,31 Fellgate Avenue,Tyne And Wear,Billy's Fish & Chips (Jarrow),NE32,4LZ,5,Fish & Chips
http://www.just-eat.co.uk/restaurants-billysfishandchips-ne34/menu,55f14313c7447c3da70524c1,18 Horsley Hill Square,Tyne and Wear,Billy's Fish & Chips (South Shields),NE34,7HD,5,Fish & Chips
http://www.just-eat.co.uk/restaurants-billysfishandchips-ne34/menu,55f14313c7447c3da70524c2,18 Horsley Hill Square,Tyne and Wear,Billy's Fish & Chips (South Shields),NE34,7HD,5,Fish & Chips
http://www.just-eat.co.uk/restaurants-billysfastfood-ng6/menu,55f14313c7447c3da70524c3,45 Arnold Road,Nottingham,Billy's Fish Bar & Fast Food,NG6,0DN,4.5,Pizza
http://www.just-eat.co.uk/restaurants-bilistonbalti-wv14/menu,55f14313c7447c3da70524c4,7 Mount Pleasant,Wolverhampton,Bilston Balti,WV14,7LJ,4.5,Curry
http://www.just-eat.co.uk/restaurants-bilistonbalti-wv14/menu,55f14313c7447c3da70524c5,7 Mount Pleasant,Wolverhampton,Bilston Balti,WV14,7LJ,4.5,Curry
http://www.just-eat.co.uk/restaurants-bilstonno1-wv14/menu,55f14313c7447c3da70524c6,77A Mount Pleasant,Bilston,Bilston No1,WV14,7NR,5,Pizza
http://www.just-eat.co.uk/restaurants-bilstonno1-wv14/menu,55f14313c7447c3da70524c7,77A Mount Pleasant,Bilston,Bilston No1,WV14,7NR,5,Pizza
http://www.just-eat.co.uk/restaurants-bimbis-fish-and-chips-high-rickleton/menu,55f14313c7447c3da70524c8,18 Talbot Terrace,County Durham,Bimbis Fish & Chips,DH3,2PQ,4.5,Fish & Chips
http://www.just-eat.co.uk/restaurants-bimbis-fish-and-chips-high-rickleton/menu,55f14313c7447c3da70524c9,18 Talbot Terrace,County Durham,Bimbis Fish & Chips,DH3,2PQ,4.5,Fish & Chips
http://www.just-eat.co.uk/restaurants-binarikorean-bn1/menu,55f14313c7447c3da70524ca,31 Preston Street,Brighton,Binari Korean Restaurant - Collection Only,BN1,2HP,Not yet rated,Korean
http://www.just-eat.co.uk/restaurants-binarikorean-bn1/menu,55f14313c7447c3da70524cb,31 Preston Street,Brighton,Binari Korean Restaurant - Collection Only,BN1,2HP,Not yet rated,Korean
http://www.just-eat.co.uk/restaurants-bindi/menu,55f14313c7447c3da70524cc,261 Whickham View,Newcastle,Bindi,NE15,7HP,5,Curry
http://www.just-eat.co.uk/restaurants-bindis-ch5/menu,55f14313c7447c3da70524cd,3 Boughton,Cheshire,Bindis,CH3,5AE,5.5,Curry
http://www.just-eat.co.uk/restaurants-bing/menu,55f14313c7447c3da70524ce,202 Manor Place,London,Bing Chinese Takeaway,SE17,3BN,4.5,Chinese
http://www.just-eat.co.uk/restaurants-bing/menu,55f14313c7447c3da70524cf,202 Manor Place,London,Bing Chinese Takeaway,SE17,3BN,4.5,Chinese
http://www.just-eat.co.uk/restaurants-bintang-nw1/menu,55f14313c7447c3da70524d0,93 Kentish Town Road,London,Bintang,NW1,8NY,3.5,Thai
http://www.just-eat.co.uk/restaurants-bintang-nw1/menu,55f14313c7447c3da70524d1,93 Kentish Town Road,London,Bintang,NW1,8NY,3.5,Thai
http://www.just-eat.co.uk/restaurants-bipashtandoori-al7/menu,55f14313c7447c3da70524d2,41 Cole Green Lane,Welwyn Garden City,Bipash Tandoori,AL7,3PP,5,Curry
http://www.just-eat.co.uk/restaurants-birashwamys-ig6/menu,55f14313c7447c3da70524d3,4 Broadway Market Fencepiece Road,Ilford,Birashwamys Est 1970,IG6,2JT,5,Curry
http://www.just-eat.co.uk/restaurants-bishaal-cm18/menu,55f14313c7447c3da70524d4,6 Staple Tye Shopping Centre Harlow,Essex,Bishaal,CM18,7PJ,5.5,Curry
http://www.just-eat.co.uk/restaurants-fbishopscaribbean-s11/menu,55f14313c7447c3da70524d5,1 Rustlings Road,Sheffield,Bishops Caribbean,S11,7AB,5.5,Caribbean
http://www.just-eat.co.uk/restaurants-bishys-chicken-ts18/menu,55f14313c7447c3da70524d6,76 Yarm Lane,Stockton on Tees,Bishy's Chicken,TS18,1EW,4,American
http://www.just-eat.co.uk/restaurants-bistro5pizzeria-bt6/menu,55f14313c7447c3da70524d7,146 Cregagh Road,Belfast,Bistro 5 Pizzeria,BT6,9ET,4.5,Pizza
http://www.just-eat.co.uk/restaurants-bistro-chicken-bournemouth/menu,55f14313c7447c3da70524d8,242 Old Christchurch nRoad,Dorset,Bistro Chicken,BH1,1PF,5,Chicken
http://www.just-eat.co.uk/restaurants-bistropizza-bh1/menu,55f14313c7447c3da70524d9,242 Old Christchurch Road,Bournemouth,Bistro Pizza,BH1,1PF,5.5,Pizza
http://www.just-eat.co.uk/restaurants-bit-bourbon-steamed-burgers-regents-park/menu,55f14313c7447c3da70524da,Unit 702 Stables Market - Camden Town,London,Bit Bourbon Steamed Burgers,NW1,8AF,Not yet rated,Burgers
http://www.just-eat.co.uk/restaurants-biteeast-fk8/menu,55f14313c7447c3da70524db,52 Port Street,Stirling,Bite East,FK8,2LJ,5,Japanese
http://www.just-eat.co.uk/restaurants-biteofitaly-wc2a/menu,55f14313c7447c3da70524dc,67 Chancery Lane,London,Bites of Italy,WC2A,1AF,3.5,Healthy
http://www.just-eat.co.uk/restaurants-biteofitaly-wc2a/menu,55f14313c7447c3da70524dd,67 Chancery Lane,London,Bites of Italy,WC2A,1AF,3.5,Healthy
http://www.just-eat.co.uk/restaurants-bithika-bt9/menu,55f14313c7447c3da70524de,2 133 Lisburn Road,Belfast,Bithika,BT9,7AG,5,Curry
http://www.just-eat.co.uk/restaurants-bitingjunction-ha8/menu,55f14313c7447c3da70524df,44 Queensbury Station Parade,Edgware,Biting Junction,HA8,5NN,4.5,American
http://www.just-eat.co.uk/restaurants-bitingjunction-ha8/menu,55f14313c7447c3da70524e0,44 Queensbury Station Parade,Edgware,Biting Junction,HA8,5NN,4.5,American
http://www.just-eat.co.uk/restaurants-bits-n-pieces-glasgow/menu,55f14313c7447c3da70524e1,384 Cathcart Road,Glasgow,Bits n Pieces,G42,7DF,3.5,Sandwiches
http://www.just-eat.co.uk/restaurants-bits-n-pizza-heywood/menu,55f14313c7447c3da70524e2,33 Bridge Street,Haywood,Bits N Pizza,OL10,1JF,5,Pizza
http://www.just-eat.co.uk/restaurants-bits-n-pizza-heywood/menu,55f14313c7447c3da70524e3,33 Bridge Street,Haywood,Bits N Pizza,OL10,1JF,5,Pizza
http://www.just-eat.co.uk/restaurants-bits-n-pizza-m45/menu,55f14313c7447c3da70524e4,130 Bury New Road,Whitefield,Bits'N'Pizza,M45,6AD,5,Pizza
http://www.just-eat.co.uk/restaurants-bits-n-pizza-m45/menu,55f14313c7447c3da70524e5,130 Bury New Road,Whitefield,Bits'N'Pizza,M45,6AD,5,Pizza
